"","Daniorerio","Campylomormyruscompressirostris"
"17567","arg2","maker-ptg000234l-snap-gene-16.176-mRNA-1"
"17568","vti1b","maker-ptg000067l-augustus-gene-17.180-mRNA-1"
"17569","rdh12","snap_masked-ptg000234l-processed-gene-16.14-mRNA-1"
"17570","zfyve26","maker-ptg000234l-snap-gene-16.153-mRNA-1"
"17573","plek2","maker-ptg000234l-snap-gene-16.150-mRNA-1"
"17576","trip11","maker-ptg000234l-augustus-gene-16.42-mRNA-1"
"17577","golga5","maker-ptg000234l-augustus-gene-15.35-mRNA-1"
"17578","rtf1","maker-ptg000234l-snap-gene-15.56-mRNA-1"
"17579","ndufaf1","maker-ptg000234l-augustus-gene-15.41-mRNA-1"
"17580","nusap1","snap_masked-ptg000234l-processed-gene-15.2-mRNA-1"
"17581","oip5","maker-ptg000234l-est_gff_est2genome-gene-15.19-mRNA-1"
"17582","tmem39b","maker-ptg000808l-augustus-gene-2.173-mRNA-1"
"17586","tmem234","maker-ptg000808l-snap-gene-2.122-mRNA-1"
"17588","btbd6a","maker-ptg000699l-augustus-gene-0.112-mRNA-1"
"17595","snx5","maker-ptg000316l-snap-gene-4.272-mRNA-1"
"17597","mgme1","maker-ptg000316l-snap-gene-3.5-mRNA-1"
"17598","pet117","maker-ptg000316l-snap-gene-3.7-mRNA-1"
"17601","ephx5","maker-ptg000316l-snap-gene-3.8-mRNA-1"
"17602","mad2l1bp","maker-ptg000316l-augustus-gene-4.138-mRNA-1"
"17604","flrt3","maker-ptg000456l-snap-gene-4.0-mRNA-1"
"17605","ndufaf5","maker-ptg000456l-augustus-gene-4.33-mRNA-1"
"17606","chp1","maker-ptg000234l-augustus-gene-15.25-mRNA-1"
"17608","esf1","snap_masked-ptg000456l-processed-gene-4.40-mRNA-1"
"17610","ism1","maker-ptg002329l-snap-gene-0.9-mRNA-1"
"17611","sptlc3","maker-ptg001282l-snap-gene-1.30-mRNA-1"
"17612","btbd3b","maker-ptg001282l-augustus-gene-1.51-mRNA-1"
"17613","LOC101882067","maker-ptg001282l-snap-gene-1.21-mRNA-1"
"17616","slx4ip","maker-ptg001327l-snap-gene-1.119-mRNA-1"
"17617","mkks","maker-ptg001327l-snap-gene-1.151-mRNA-1"
"17619","memo1","maker-ptg000004l-snap-gene-23.74-mRNA-1"
"17621","thbs2a","maker-ptg000405l-augustus-gene-42.14-mRNA-1"
"17622","psme4a","maker-ptg000405l-snap-gene-43.30-mRNA-1"
"17623","gpr75","snap_masked-ptg000405l-processed-gene-43.6-mRNA-1"
"17624","erlec1","maker-ptg000405l-snap-gene-43.42-mRNA-1"
"17625","agpat4","maker-ptg000405l-augustus-gene-41.87-mRNA-1"
"17626","map3k4","maker-ptg000405l-snap-gene-41.5-mRNA-1"
"17627","kcnk1b","maker-ptg000405l-augustus-gene-40.15-mRNA-1"
"17628","tacc3","maker-ptg000311l-snap-gene-18.94-mRNA-1"
"17631","si_ch211-67f13.7","maker-ptg000808l-snap-gene-2.33-mRNA-1"
"17633","zgc_153911","maker-ptg000808l-snap-gene-2.107-mRNA-1"
"17636","lgmn","maker-ptg000234l-snap-gene-15.43-mRNA-1"
"17637","pcnx1","maker-ptg000234l-snap-gene-14.49-mRNA-1"
"17639","med6","maker-ptg000234l-snap-gene-14.47-mRNA-1"
"17640","ttc9","maker-ptg000234l-augustus-gene-14.17-mRNA-1"
"17641","map3k9","maker-ptg000234l-snap-gene-14.44-mRNA-1"
"17644","slc8a3","snap_masked-ptg000234l-processed-gene-13.79-mRNA-1"
"17645","cox16","maker-ptg000234l-augustus-gene-13.48-mRNA-1"
"17647","dcaf5","maker-ptg000234l-snap-gene-12.8-mRNA-1"
"17648","pacs2","maker-ptg000234l-augustus-gene-12.28-mRNA-1"
"17649","srsf5a","maker-ptg000234l-augustus-gene-13.50-mRNA-1"
"17650","LOC794838","maker-ptg000234l-snap-gene-13.23-mRNA-1"
"17651","synj2bp","maker-ptg000234l-augustus-gene-13.63-mRNA-1"
"17652","lgals3a","maker-ptg000234l-snap-gene-13.4-mRNA-1"
"17654","gmfb","maker-ptg001966l-snap-gene-24.28-mRNA-1"
"17655","cnih1","maker-ptg000051l-snap-gene-48.8-mRNA-1"
"17659","l2hgdh","maker-ptg000051l-augustus-gene-47.14-mRNA-1"
"17660","dmac2l","maker-ptg000051l-augustus-gene-47.22-mRNA-1"
"17661","cdkl1","snap_masked-ptg002202l-processed-gene-3.183-mRNA-1"
"17663","atl1","maker-ptg000051l-snap-gene-45.9-mRNA-1"
"17666","il17d","maker-ptg000051l-snap-gene-52.13-mRNA-1"
"17672","frmd6","maker-ptg000051l-augustus-gene-72.14-mRNA-1"
"17674","syne2b","maker-ptg000608l-snap-gene-5.61-mRNA-1"
"17677","kcnh5b","maker-ptg000608l-snap-gene-3.20-mRNA-1"
"17679","ppp2r5eb","maker-ptg000608l-snap-gene-5.103-mRNA-1"
"17681","wdr89","maker-ptg000608l-snap-gene-5.94-mRNA-1"
"17682","sgpp1b","maker-ptg000608l-snap-gene-5.124-mRNA-1"
"17687","phf3","maker-ptg000110l-snap-gene-13.100-mRNA-1"
"17694","lmbrd1","maker-ptg000137l-augustus-gene-0.13-mRNA-1"
"17696","col19a1","maker-ptg001017l-augustus-gene-0.117-mRNA-1"
"17697","col9a1b","maker-ptg001017l-snap-gene-0.8-mRNA-1"
"17698","fam135a","snap_masked-ptg001017l-processed-gene-0.169-mRNA-1"
"17699","zgc_172136","maker-ptg000405l-snap-gene-39.10-mRNA-1"
"17700","tarbp1","maker-ptg000405l-augustus-gene-40.0-mRNA-1"
"17702","LOC101886918","maker-ptg000405l-snap-gene-40.51-mRNA-1"
"17703","slc35f3b","maker-ptg000405l-snap-gene-40.55-mRNA-1"
"17705","marveld1","snap_masked-ptg000045l-processed-gene-0.120-mRNA-1"
"17706","zgc_171482","maker-ptg001309l-snap-gene-2.2-mRNA-1"
"17707","sfrp5","maker-ptg000687l-snap-gene-1.79-mRNA-1"
"17710","crtac1b","maker-ptg000796l-augustus-gene-6.3-mRNA-1"
"17711","loxl4","maker-ptg000796l-snap-gene-5.48-mRNA-1"
"17713","pyroxd2","maker-ptg000796l-snap-gene-5.42-mRNA-1"
"17715","slc25a28","snap_masked-ptg000796l-processed-gene-5.23-mRNA-1"
"17717","nkx3.3","snap_masked-ptg000796l-processed-gene-5.14-mRNA-1"
"17718","nkx2.3","maker-ptg000687l-snap-gene-1.55-mRNA-1"
"17719","got1","maker-ptg000687l-snap-gene-0.0-mRNA-1"
"17722","cnnm1","maker-ptg000687l-snap-gene-1.47-mRNA-1"
"17724","hpse2","maker-ptg000796l-snap-gene-4.27-mRNA-1"
"17725","hps1","maker-ptg000796l-augustus-gene-4.43-mRNA-1"
"17726","st3gal7","maker-ptg000796l-augustus-gene-4.37-mRNA-1"
"17728","morn4","maker-ptg000796l-snap-gene-4.3-mRNA-1"
"17729","wu_fc17b08","maker-ptg000796l-snap-gene-4.6-mRNA-1"
"17731","nkx1.2la","maker-ptg000457l-snap-gene-20.13-mRNA-1"
"17733","abcc2","maker-ptg000796l-snap-gene-3.88-mRNA-1"
"17735","cutc","maker-ptg000796l-snap-gene-3.84-mRNA-1"
"17736","prkg1a","maker-ptg001572l-snap-gene-4.154-mRNA-1"
"17737","cox15","maker-ptg000796l-snap-gene-3.114-mRNA-1"
"17739","LOC101886535","maker-ptg000796l-snap-gene-3.83-mRNA-1"
"17743","prom2","maker-ptg000796l-augustus-gene-2.42-mRNA-1"
"17750","polr1b","maker-ptg000796l-snap-gene-2.58-mRNA-1"
"17751","npm3","maker-ptg000796l-snap-gene-3.105-mRNA-1"
"17752","nanp","snap_masked-ptg000796l-processed-gene-3.49-mRNA-1"
"17753","cyp1b1","maker-ptg001309l-snap-gene-10.54-mRNA-1"
"17754","rmdn2","maker-ptg001309l-snap-gene-11.13-mRNA-1"
"17755","cdc42ep3","snap_masked-ptg001309l-processed-gene-11.3-mRNA-1"
"17756","opn3","maker-ptg001309l-snap-gene-4.99-mRNA-1"
"17757","kmo","maker-ptg001309l-augustus-gene-0.1-mRNA-1"
"17758","ide","maker-ptg001309l-snap-gene-4.91-mRNA-1"
"17759","marchf5","maker-ptg001309l-augustus-gene-0.0-mRNA-1"
"17760","cpeb3","maker-ptg000585l-augustus-gene-3.114-mRNA-1"
"17761","btaf1","maker-ptg000585l-snap-gene-3.48-mRNA-1"
"17764","mlh1","maker-ptg000420l-snap-gene-4.71-mRNA-1"
"17765","lrrfip2","snap_masked-ptg000420l-processed-gene-4.16-mRNA-1"
"17766","mrpl14","snap_masked-ptg000316l-processed-gene-2.32-mRNA-1"
"17767","capn1a","maker-ptg000316l-snap-gene-4.241-mRNA-1"
"17769","cdh23","maker-ptg000212l-augustus-gene-1.95-mRNA-1"
"17770","vsir","maker-ptg000212l-snap-gene-0.0-mRNA-1"
"17771","eif3s6ip","maker-ptg000405l-snap-gene-38.20-mRNA-1"
"17772","smoc2","maker-ptg000405l-snap-gene-38.13-mRNA-1"
"17774","ablim1a","maker-ptg000512l-snap-gene-2.123-mRNA-1"
"17775","fhip2a","maker-ptg000512l-snap-gene-4.132-mRNA-1"
"17776","zfyve21","maker-ptg000699l-snap-gene-0.3-mRNA-1"
"17777","mdga1","maker-ptg002109l-augustus-gene-0.22-mRNA-1"
"17778","zfand3","maker-ptg000537l-snap-gene-4.44-mRNA-1"
"17779","btbd9","maker-ptg000537l-snap-gene-4.61-mRNA-1"
"17780","glo1","maker-ptg000537l-snap-gene-4.53-mRNA-1"
"17782","zbtb8os","maker-ptg000808l-augustus-gene-2.163-mRNA-1"
"17784","khdrbs1a","maker-ptg001443l-snap-gene-6.130-mRNA-1"
"17785","chp1","maker-ptg000234l-augustus-gene-15.25-mRNA-1"
"17786","runx3","maker-ptg003017l-augustus-gene-0.13-mRNA-1"
"17788","syf2","maker-ptg001509l-augustus-gene-0.58-mRNA-1"
"17791","tmem50a","maker-ptg001509l-snap-gene-0.116-mRNA-1"
"17793","rhd","maker-ptg001509l-snap-gene-0.158-mRNA-1"
"17795","maco1b","maker-ptg002058l-snap-gene-0.19-mRNA-1"
"17796","ldlrap1b","maker-ptg001509l-snap-gene-0.138-mRNA-1"
"17797","LOC100535278","maker-ptg000347l-snap-gene-11.25-mRNA-1"
"17801","olig4","snap_masked-ptg000783l-processed-gene-8.80-mRNA-1"
"17802","bsdc1","maker-ptg001509l-snap-gene-0.141-mRNA-1"
"17803","marcksl1a","maker-ptg000783l-augustus-gene-8.118-mRNA-1"
"17805","fgfr2","maker-ptg000464l-snap-gene-3.93-mRNA-1"
"17807","tmem63ba","maker-ptg000316l-snap-gene-4.208-mRNA-1"
"17808","LOC571446","maker-ptg000316l-snap-gene-4.181-mRNA-1"
"17809","slc29a1a","maker-ptg000500l-snap-gene-1.9-mRNA-1"
"17811","mtrf1l","maker-ptg000500l-snap-gene-2.75-mRNA-1"
"17812","fbxo5","maker-ptg000500l-snap-gene-2.74-mRNA-1"
"17814","anapc1","maker-ptg000500l-snap-gene-2.64-mRNA-1"
"17817","lhcgr","maker-ptg000796l-augustus-gene-1.0-mRNA-1"
"17818","mertka","maker-ptg000796l-augustus-gene-1.1-mRNA-1"
"17819","tmem87b","maker-ptg000796l-snap-gene-1.58-mRNA-1"
"17820","fbln7","maker-ptg000796l-snap-gene-3.101-mRNA-1"
"17821","zmp_0000001138","maker-ptg000376l-snap-gene-0.14-mRNA-1"
"17823","zc3h6","maker-ptg000796l-snap-gene-2.48-mRNA-1"
"17824","LOC110440166","maker-ptg000796l-snap-gene-3.103-mRNA-1"
"17826","itga9","maker-ptg000420l-snap-gene-4.50-mRNA-1"
"17827","golga4","maker-ptg000420l-augustus-gene-4.152-mRNA-1"
"17828","kcnk12","snap_masked-ptg000641l-processed-gene-1.32-mRNA-1"
"17829","msh6","maker-ptg000490l-snap-gene-0.84-mRNA-1"
"17832","foxn2a","maker-ptg000405l-snap-gene-50.75-mRNA-1"
"17833","LOC100149084","maker-ptg000885l-snap-gene-2.33-mRNA-1"
"17834","ntpcr","maker-ptg000885l-augustus-gene-1.0-mRNA-1"
"17838","LOC101882292","maker-ptg001178l-snap-gene-7.3-mRNA-1"
"17839","disc1","maker-ptg000992l-snap-gene-0.17-mRNA-1"
"17840","tsnax","maker-ptg000992l-snap-gene-0.25-mRNA-1"
"17841","egln1a","maker-ptg001178l-snap-gene-10.95-mRNA-1"
"17842","irf2bp2a","maker-ptg002064l-augustus-gene-0.4-mRNA-1"
"17843","tomm20a","maker-ptg002064l-snap-gene-0.65-mRNA-1"
"17845","ggps1","snap_masked-ptg001178l-processed-gene-10.23-mRNA-1"
"17846","b3galnt2","maker-ptg001178l-snap-gene-10.134-mRNA-1"
"17849","nid1a","maker-ptg001178l-augustus-gene-10.63-mRNA-1"
"17851","gpr137ba","maker-ptg002061l-augustus-gene-0.8-mRNA-1"
"17853","gpatch11","maker-ptg001327l-augustus-gene-0.23-mRNA-1"
"17855","cacul1","maker-ptg001017l-augustus-gene-0.92-mRNA-1"
"17856","sirt1","maker-ptg001017l-snap-gene-0.1-mRNA-1"
"17859","herc4","maker-ptg001017l-augustus-gene-0.99-mRNA-1"
"17860","ccnj","maker-ptg000585l-snap-gene-3.47-mRNA-1"
"17862","si_ch211-214e3.5","maker-ptg000585l-est_gff_est2genome-gene-3.17-mRNA-1"
"17864","blnk","maker-ptg000585l-snap-gene-3.41-mRNA-1"
"17865","vent","maker-ptg000585l-snap-gene-3.36-mRNA-1"
"17866","vox","maker-ptg000585l-snap-gene-3.35-mRNA-1"
"17868","kndc1","snap_masked-ptg000585l-processed-gene-3.64-mRNA-1"
"17869","dntt","maker-ptg000585l-snap-gene-2.3-mRNA-1"
"17870","hs3st1l1","snap_masked-ptg000585l-processed-gene-1.0-mRNA-1"
"17871","adgra1","maker-ptg000457l-snap-gene-3.42-mRNA-1"
"17872","LOC562831","maker-ptg000457l-augustus-gene-3.66-mRNA-1"
"17875","valopa","maker-ptg000457l-snap-gene-3.46-mRNA-1"
"17876","nkx6.2","maker-ptg000457l-snap-gene-2.0-mRNA-1"
"17877","LOC101884388","maker-ptg000457l-augustus-gene-3.70-mRNA-1"
"17879","pwwp2b","maker-ptg000457l-augustus-gene-3.71-mRNA-1"
"17882","zmp_0000000755","maker-ptg001469l-snap-gene-0.21-mRNA-1"
"17883","srfb","maker-ptg000663l-snap-gene-1.122-mRNA-1"
"17884","mrpl2","snap_masked-ptg001469l-processed-gene-0.1-mRNA-1"
"17888","lclat1","maker-ptg001585l-snap-gene-0.72-mRNA-1"
"17889","slc30a10","maker-ptg001585l-augustus-gene-0.42-mRNA-1"
"17890","klhdc3","maker-ptg000885l-snap-gene-2.0-mRNA-1"
"17892","npas4l","maker-ptg000885l-snap-gene-2.7-mRNA-1"
"17896","tmem254","maker-ptg000775l-snap-gene-1.23-mRNA-1"
"17899","cytl1","maker-ptg000278l-augustus-gene-20.69-mRNA-1"
"17900","msx1a","maker-ptg000278l-snap-gene-20.30-mRNA-1"
"17901","stx18","maker-ptg000278l-snap-gene-19.8-mRNA-1"
"17903","zbtb49","maker-ptg000278l-augustus-gene-20.60-mRNA-1"
"17904","ccdc160","maker-ptg000334l-est_gff_est2genome-gene-0.0-mRNA-1"
"17908","si_ch73-335m24.2","maker-ptg001185l-snap-gene-7.146-mRNA-1"
"17909","tmem128","maker-ptg000278l-snap-gene-19.2-mRNA-1"
"17911","otop1","maker-ptg000278l-augustus-gene-19.15-mRNA-1"
"17912","nr3c1","maker-ptg000477l-snap-gene-8.0-mRNA-1"
"17915","mcf2a","maker-ptg000529l-snap-gene-2.33-mRNA-1"
"17916","spon2a","maker-ptg002561l-augustus-gene-0.30-mRNA-1"
"17918","LOC110438986","maker-ptg001467l-snap-gene-3.15-mRNA-1"
"17921","fgfrl1b","maker-ptg002055l-snap-gene-0.96-mRNA-1"
"17922","si_ch211-175m2.5","maker-ptg000989l-augustus-gene-1.5-mRNA-1"
"17924","slc24a6a","maker-ptg002443l-augustus-gene-15.7-mRNA-1"
"17925","p2ry10","maker-ptg000568l-augustus-gene-1.34-mRNA-1"
"17926","eif1ad","maker-ptg000214l-augustus-gene-4.42-mRNA-1"
"17927","lrit3a","maker-ptg000953l-snap-gene-4.75-mRNA-1"
"17928","LOC100333021","maker-ptg000065l-augustus-gene-17.23-mRNA-1"
"17930","spdl1","snap_masked-ptg001220l-processed-gene-3.150-mRNA-1"
"17931","LOC101882501","maker-ptg000278l-augustus-gene-17.35-mRNA-1"
"17933","mcm7","maker-ptg000065l-augustus-gene-17.17-mRNA-1"
"17935","fat1b","maker-ptg000707l-snap-gene-4.42-mRNA-1"
"17936","gpc2","maker-ptg000065l-snap-gene-17.33-mRNA-1"
"17938","gsr","maker-ptg001746l-snap-gene-11.22-mRNA-1"
"17939","zdhhc24","maker-ptg002443l-snap-gene-14.44-mRNA-1"
"17941","tdo2a","maker-ptg000792l-snap-gene-3.126-mRNA-1"
"17942","LOC101882840","maker-ptg002443l-snap-gene-14.74-mRNA-1"
"17943","rad9a","maker-ptg000574l-snap-gene-12.1-mRNA-1"
"17944","vegfba","maker-ptg000113l-augustus-gene-4.131-mRNA-1"
"17946","hs3st1","snap_masked-ptg000278l-processed-gene-16.5-mRNA-1"
"17949","timm8a","maker-ptg000875l-snap-gene-9.27-mRNA-1"
"17951","LOC101882293","maker-ptg000278l-est_gff_est2genome-gene-17.45-mRNA-1"
"17952","gpr174","snap_masked-ptg000568l-processed-gene-1.14-mRNA-1"
"17954","sh3bgrl","maker-ptg000209l-snap-gene-0.32-mRNA-1"
"17956","wdr1","maker-ptg000278l-augustus-gene-17.32-mRNA-1"
"17957","LOC108179569","maker-ptg001228l-snap-gene-5.80-mRNA-1"
"17958","polr1d","maker-ptg000568l-snap-gene-2.27-mRNA-1"
"17960","atrx","maker-ptg001311l-snap-gene-1.10-mRNA-1"
"17964","stc2a","maker-ptg000336l-augustus-gene-1.10-mRNA-1"
"17965","neil3","maker-ptg000021l-augustus-gene-26.61-mRNA-1"
"17967","ndfip1","maker-ptg001224l-snap-gene-0.100-mRNA-1"
"17968","gla","snap_masked-ptg001262l-processed-gene-3.41-mRNA-1"
"17971","clcf1","maker-ptg000574l-augustus-gene-4.121-mRNA-1"
"17973","aga","maker-ptg000021l-augustus-gene-26.50-mRNA-1"
"17974","itk","maker-ptg000481l-snap-gene-7.10-mRNA-1"
"17975","nkx2.5","maker-ptg000336l-snap-gene-2.11-mRNA-1"
"17976","nkx3-2","maker-ptg000278l-snap-gene-14.49-mRNA-1"
"17977","stx5a","maker-ptg000113l-augustus-gene-4.124-mRNA-1"
"17979","asah1a","maker-ptg000707l-snap-gene-3.28-mRNA-1"
"17982","chrm1a","maker-ptg001461l-augustus-gene-4.115-mRNA-1"
"17983","arhgef37","maker-ptg001220l-snap-gene-3.64-mRNA-1"
"17984","pdzd11","maker-ptg001220l-augustus-gene-7.226-mRNA-1"
"17985","bod1","maker-ptg000079l-snap-gene-1.6-mRNA-1"
"17987","map7d3","maker-ptg000334l-snap-gene-1.17-mRNA-1"
"17989","st3gal5","maker-ptg000466l-augustus-gene-10.35-mRNA-1"
"17990","rab41","maker-ptg000810l-snap-gene-4.243-mRNA-1"
"17992","tmem107","maker-ptg000065l-augustus-gene-14.18-mRNA-1"
"17993","hspa9","maker-ptg002055l-snap-gene-0.108-mRNA-1"
"17996","rnasel3","maker-ptg001587l-snap-gene-7.3-mRNA-1"
"17997","zgc_92045","maker-ptg000311l-augustus-gene-21.5-mRNA-1"
"17999","hdac3","maker-ptg002055l-augustus-gene-0.135-mRNA-1"
"18001","adgrg4a","maker-ptg001101l-snap-gene-17.3-mRNA-1"
"18005","cxcl14","maker-ptg001220l-augustus-gene-3.48-mRNA-1"
"18009","spry1","snap_masked-ptg002723l-processed-gene-0.4-mRNA-1"
"18012","afg2a","maker-ptg000538l-augustus-gene-4.84-mRNA-1"
"18013","nudt6","maker-ptg000538l-snap-gene-0.8-mRNA-1"
"18014","fgf2","maker-ptg000538l-snap-gene-4.4-mRNA-1"
"18015","dele1","maker-ptg000236l-augustus-gene-8.37-mRNA-1"
"18021","ube2ka","maker-ptg000446l-snap-gene-1.4-mRNA-1"
"18023","ints10","maker-ptg000416l-augustus-gene-1.86-mRNA-1"
"18024","tlr1","snap_masked-ptg000364l-processed-gene-10.27-mRNA-1"
"18026","klb","maker-ptg000446l-snap-gene-1.5-mRNA-1"
"18028","adra2da","snap_masked-ptg000523l-processed-gene-1.51-mRNA-1"
"18029","slc34a1a","maker-ptg000523l-snap-gene-1.127-mRNA-1"
"18030","rgs14a","maker-ptg000523l-snap-gene-1.120-mRNA-1"
"18032","arl3l2","maker-ptg000182l-augustus-gene-1.15-mRNA-1"
"18033","myoz3a","maker-ptg000523l-augustus-gene-0.15-mRNA-1"
"18034","acsl1b","snap_masked-ptg001507l-processed-gene-1.20-mRNA-1"
"18035","arsia","maker-ptg000525l-augustus-gene-10.40-mRNA-1"
"18037","f8","maker-ptg002443l-augustus-gene-22.112-mRNA-1"
"18038","slc16a2","maker-ptg002443l-augustus-gene-19.22-mRNA-1"
"18040","sec24b","maker-ptg000148l-augustus-gene-4.59-mRNA-1"
"18041","hopx","maker-ptg000148l-snap-gene-4.13-mRNA-1"
"18044","srp72","maker-ptg000148l-augustus-gene-3.22-mRNA-1"
"18048","bbs12","maker-ptg000311l-est_gff_est2genome-gene-13.0-mRNA-1"
"18049","cetn4","maker-ptg000311l-augustus-gene-13.22-mRNA-1"
"18050","tbc1d9b","maker-ptg000236l-snap-gene-10.39-mRNA-1"
"18051","zgc_152774","snap_masked-ptg000170l-processed-gene-32.0-mRNA-1"
"18052","pmt","maker-ptg000170l-snap-gene-31.8-mRNA-1"
"18053","kcnip1a","maker-ptg000314l-augustus-gene-2.9-mRNA-1"
"18055","dock2","maker-ptg002443l-snap-gene-22.39-mRNA-1"
"18056","cldn23.2","maker-ptg000176l-augustus-gene-4.19-mRNA-1"
"18058","LOC101884818","snap_masked-ptg002443l-processed-gene-22.19-mRNA-1"
"18059","dock2-like","maker-ptg002443l-snap-gene-22.34-mRNA-1"
"18061","trpc7a","maker-ptg000236l-snap-gene-5.35-mRNA-1"
"18072","pcdh1g32","maker-ptg000236l-snap-gene-4.30-mRNA-1"
"18076","pcdh2ac","maker-ptg000236l-snap-gene-2.13-mRNA-1"
"18084","fgf18b","maker-ptg000078l-snap-gene-7.90-mRNA-1"
"18087","etf1a","snap_masked-ptg000078l-processed-gene-7.5-mRNA-1"
"18088","spock1","maker-ptg000236l-snap-gene-6.0-mRNA-1"
"18089","bicc2","maker-ptg000236l-augustus-gene-8.47-mRNA-1"
"18091","ndst1b","maker-ptg000182l-snap-gene-3.76-mRNA-1"
"18092","cd74a","maker-ptg000104l-augustus-gene-3.188-mRNA-1"
"18094","slc35a4","maker-ptg000104l-snap-gene-3.1-mRNA-1"
"18095","LOC101885612","maker-ptg000104l-snap-gene-3.0-mRNA-1"
"18096","apbb3","maker-ptg000104l-snap-gene-3.59-mRNA-1"
"18097","hmgxb3","maker-ptg000104l-snap-gene-3.37-mRNA-1"
"18101","pdgfrb","maker-ptg000104l-augustus-gene-2.14-mRNA-1"
"18104","im_7150988","maker-ptg000552l-augustus-gene-3.44-mRNA-1"
"18110","fnta","maker-ptg000538l-snap-gene-3.9-mRNA-1"
"18113","pigg","snap_masked-ptg000538l-processed-gene-4.82-mRNA-1"
"18115","snx25","maker-ptg000021l-augustus-gene-20.67-mRNA-1"
"18117","casp3b","maker-ptg001507l-augustus-gene-1.226-mRNA-1"
"18119","cenpu","maker-ptg000021l-augustus-gene-20.49-mRNA-1"
"18120","slc25a51b","snap_masked-ptg000416l-processed-gene-1.60-mRNA-1"
"18121","frmpd1b","maker-ptg000416l-snap-gene-1.127-mRNA-1"
"18122","gnpda2","maker-ptg000514l-augustus-gene-15.5-mRNA-1"
"18125","guf1","maker-ptg000514l-augustus-gene-15.6-mRNA-1"
"18126","LOC110437898","maker-ptg000514l-snap-gene-10.0-mRNA-1"
"18128","LOC100001259","maker-ptg000514l-augustus-gene-17.3-mRNA-1"
"18130","shisa3","maker-ptg000186l-snap-gene-12.46-mRNA-1"
"18131","bend4","maker-ptg000186l-snap-gene-12.65-mRNA-1"
"18132","slc30a9","maker-ptg000186l-snap-gene-12.29-mRNA-1"
"18133","gabra4","maker-ptg000514l-augustus-gene-18.27-mRNA-1"
"18134","dgkq","maker-ptg000186l-snap-gene-12.63-mRNA-1"
"18137","ube2d3","maker-ptg000186l-augustus-gene-11.41-mRNA-1"
"18139","cpxm1b","maker-ptg000186l-snap-gene-8.49-mRNA-1"
"18140","ap1ar","maker-ptg000056l-snap-gene-10.10-mRNA-1"
"18142","dctn1a","maker-ptg000186l-snap-gene-8.45-mRNA-1"
"18143","fam113","maker-ptg000186l-snap-gene-8.31-mRNA-1"
"18144","adam19a","maker-ptg000186l-snap-gene-8.30-mRNA-1"
"18145","si_dkey-33c12.4","maker-ptg000186l-augustus-gene-7.21-mRNA-1"
"18149","lbx2","maker-ptg000186l-augustus-gene-3.6-mRNA-1"
"18152","fgf24","maker-ptg001746l-snap-gene-28.20-mRNA-1"
"18154","npm1b","maker-ptg000186l-snap-gene-2.70-mRNA-1"
"18156","kazald2","maker-ptg000186l-augustus-gene-1.13-mRNA-1"
"18158","mrps26","maker-ptg000186l-augustus-gene-2.26-mRNA-1"
"18159","aup1","maker-ptg000186l-snap-gene-2.106-mRNA-1"
"18161","tubb4b","maker-ptg000186l-snap-gene-2.107-mRNA-1"
"18162","loxl3a","maker-ptg000186l-snap-gene-1.85-mRNA-1"
"18163","kctd8","snap_masked-ptg000514l-processed-gene-15.12-mRNA-1"
"18164","bscl2l","maker-ptg000214l-augustus-gene-1.11-mRNA-1"
"18165","si_ch73-22a13.3","maker-ptg000214l-snap-gene-1.38-mRNA-1"
"18166","hdx","maker-ptg000694l-snap-gene-1.39-mRNA-1"
"18168","elp1","maker-ptg000148l-snap-gene-18.53-mRNA-1"
"18169","tbc1d2","maker-ptg000148l-augustus-gene-18.11-mRNA-1"
"18170","slc44a1b","maker-ptg000148l-snap-gene-18.46-mRNA-1"
"18171","abca1b","maker-ptg000148l-snap-gene-17.37-mRNA-1"
"18172","nipsnap3a","maker-ptg000148l-snap-gene-17.26-mRNA-1"
"18174","thg1l","maker-ptg000336l-augustus-gene-3.158-mRNA-1"
"18175","adam19b","maker-ptg000336l-augustus-gene-3.147-mRNA-1"
"18176","si_dkeyp-44a8.2","snap_masked-ptg001622l-processed-gene-4.29-mRNA-1"
"18178","LOC137487562","maker-ptg000405l-snap-gene-16.42-mRNA-1"
"18179","clk4a","maker-ptg001622l-snap-gene-4.207-mRNA-1"
"18180","rack1","maker-ptg001622l-augustus-gene-4.114-mRNA-1"
"18181","nme5","snap_masked-ptg001622l-processed-gene-4.3-mRNA-1"
"18182","hnrnpaba","maker-ptg001622l-augustus-gene-4.110-mRNA-1"
"18183","eif4ebp3l","maker-ptg000481l-augustus-gene-13.18-mRNA-1"
"18184","hnrnph1","maker-ptg000104l-augustus-gene-3.161-mRNA-1"
"18185","rufy1","maker-ptg000104l-snap-gene-3.76-mRNA-1"
"18186","hbegfa","maker-ptg000090l-snap-gene-0.76-mRNA-1"
"18187","si_ch73-43g23.1","maker-ptg000104l-snap-gene-3.79-mRNA-1"
"18188","trpt1","maker-ptg000054l-snap-gene-4.110-mRNA-1"
"18189","ctsf","maker-ptg000214l-augustus-gene-4.45-mRNA-1"
"18191","trappc11","maker-ptg001507l-augustus-gene-1.259-mRNA-1"
"18192","hars","maker-ptg000525l-snap-gene-9.12-mRNA-1"
"18193","dnd1","maker-ptg000525l-snap-gene-9.0-mRNA-1"
"18196","kif20a","maker-ptg000525l-augustus-gene-8.90-mRNA-1"
